             whyw_KPAF  anky_KPAF  vcfz_KPAF  fovv_KPAF  wszo_KPAF  hhkk_KPAF  kkmt_KPAF  isyb_KPAF  jpyg_KPAF  qxsh_KPAF
  whyw_KPAF  10000      0.4016     0.85154    0.2405     0.64253    0.014492   0.76373    0.65085    0.75306    0.66906  
  anky_KPAF  0.4016     10000      0.79442    0.88778    0.29433    0.29615    0.81869    0.37081    0.0014318  0.29197  
  vcfz_KPAF  0.85154    0.79442    10000      0.12608    0.095092   0.52902    0.50157    0.4536     0.87555    0.15973  
  fovv_KPAF  0.2405     0.88778    0.12608    10000      0.53082    0.65129    0.53603    0.47912    0.3576     0.12203  
  wszo_KPAF  0.64253    0.29433    0.095092   0.53082    10000      0.067473   0.90223    0.47912    0.62518    0.30105  
  hhkk_KPAF  0.014492   0.29615    0.52902    0.65129    0.067473   10000      0.81965    0.64919    0.15313    0.64892  
  kkmt_KPAF  0.76373    0.81869    0.50157    0.53603    0.90223    0.81965    10000      0.2188     0.18789    0.27486  
  isyb_KPAF  0.65085    0.37081    0.4536     0.47912    0.47912    0.64919    0.2188     10000      0.03209    0.88374  
  jpyg_KPAF  0.75306    0.0014318  0.87555    0.3576     0.62518    0.15313    0.18789    0.03209    10000      0.69765  
  qxsh_KPAF  0.66906    0.29197    0.15973    0.12203    0.30105    0.64892    0.27486    0.88374    0.69765    10000    
